State,Year,Coal,Natural gas,Petroleum,Nuclear,Total renewable energy,TotalEnergy,PercentRenewable,PercentNonRenewable
IA,1978,201296,238754,414715,13225,12823,880813,1.455814117184919,98.54418588281509
ID,1978,11424,46570,143602,0,50743,252339,20.109059638026622,79.89094036197338
IL,1978,841562,1196435,1779961,360238,62032,4240228,1.462940200385451,98.53705979961455
IN,1978,1074576,436149,929585,0,43307,2483617,1.7437068597935994,98.2562931402064
KS,1978,136849,507973,423333,0,7507,1075662,0.6978958074190591,99.30210419258094
KY,1978,617183,215021,497715,0,48406,1378325,3.5119438448841893,96.48805615511581
LA,1978,3747,2349710,1676335,0,47825,4077617,1.172866407021552,98.82713359297844
MA,1978,3163,161964,1171738,60943,66192,1464000,4.521311475409836,95.47868852459017
MD,1978,209720,139642,627433,108272,47194,1132261,4.168120247893374,95.83187975210663
ME,1978,719,2166,244392,58582,55242,361101,15.298212965347645,84.70178703465236
MI,1978,671257,793936,1215137,143373,58730,2882433,2.0375148355573227,97.96248516444268
MN,1978,255741,312196,601144,126822,42722,1338625,3.1914837986740126,96.80851620132599
MO,1978,485655,360269,694616,0,42593,1583133,2.690424620041399,97.3095753799586
MS,1978,40994,208038,511668,0,37576,798276,4.707143895093927,95.29285610490608
MT,1978,57597,72686,172332,0,50828,353443,14.380819538086763,85.61918046191323
NC,1978,499873,83695,743733,108501,121076,1556878,7.776845713023114,92.22315428697688
ND,1978,129778,39067,120575,0,10878,300298,3.6224017475973866,96.37759825240262
NE,1978,59813,162693,246421,84522,7845,561294,1.397663256689008,98.60233674331099
NH,1978,20409,8204,158511,0,23145,210269,11.007328707512757,88.99267129248724
NJ,1978,60820,236852,1361982,89372,42867,1791893,2.3922745387140862,97.60772546128591
NM,1978,145738,225451,215103,0,7780,594072,1.3096055696952558,98.69039443030475
NV,1978,91272,66305,149414,0,7403,314394,2.3546887027106114,97.64531129728938
NY,1978,297344,576482,2737616,237431,173677,4022550,4.317584616723223,95.68241538327678
